feature_selection_score,random_selection_score,number_of_features,data_set,model_type
0.8303094983991464,0.8494288681204569,115,test,classification
0.8472095150960658,0.8367697594501718,116,train,classification
0.822992700729927,0.8457627118644068,116,val,classification
0.835978835978836,0.8431983385254412,116,test,classification
0.8526989935956084,0.8353344768439108,117,train,classification
0.822141560798548,0.8471986417657045,117,val,classification
0.832618025751073,0.8431983385254412,117,test,classification
0.8628519527702089,0.861111111111111,118,train,classification
0.8200913242009132,0.8380090497737558,118,val,classification
0.8240343347639485,0.8431590656284762,118,test,classification
0.86,0.8656716417910448,119,train,classification
0.8199095022624434,0.832129963898917,119,val,classification
0.8285410010649628,0.8355555555555556,119,test,classification
0.8503213957759412,0.8661126500461681,120,train,classification
0.8036697247706421,0.8363636363636363,120,val,classification
0.8211206896551725,0.8387096774193549,120,test,classification
0.8505535055350553,0.8616236162361623,121,train,classification
0.8189415041782729,0.8359020852221215,121,val,classification
0.8435814455231931,0.8377777777777777,121,test,classification
0.8645161290322582,0.8666053357865685,122,train,classification
0.8253676470588235,0.8383017163504968,122,val,classification
0.8310010764262649,0.8399999999999999,122,test,classification
0.8587055606198722,0.8674033149171271,123,train,classification
0.8230980751604032,0.8406840684068406,123,val,classification
0.824295010845987,0.8399999999999999,123,test,classification
0.8602941176470588,0.8642659279778393,124,train,classification
0.8185117967332124,0.8357400722021661,124,val,classification
0.8459086078639746,0.8390677025527191,124,test,classification
0.8574057037718491,0.8634686346863468,125,train,classification
0.8238532110091742,0.8375451263537906,125,val,classification
0.8284789644012946,0.8377777777777777,125,test,classification
0.8537258509659613,0.8647654093836246,126,train,classification
0.8055299539170506,0.8346883468834688,126,val,classification
0.8260869565217391,0.8355555555555556,126,test,classification
0.8448905109489052,0.8647654093836246,127,train,classification
0.8110091743119265,0.8346883468834688,127,val,classification
0.8425531914893618,0.8355555555555556,127,test,classification
0.8501362397820164,0.8356164383561643,128,train,classification
0.8227611940298508,0.8447837150127226,128,val,classification
0.8283261802575108,0.8464730290456431,128,test,classification
0.854779411764706,0.8344709897610922,129,train,classification
0.8252516010978957,0.8459574468085106,129,val,classification
0.8406113537117904,0.849686847599165,129,test,classification
0.8437217705510387,0.8351836037574722,130,train,classification
0.8162162162162161,0.8459574468085106,130,val,classification
0.83585313174946,0.8505747126436781,130,test,classification
0.8654205607476636,0.8337595907928389,131,train,classification
0.796244131455399,0.8459574468085106,131,val,classification
0.8035126234906697,0.849686847599165,131,test,classification
0.8504079782411604,0.8290522586359611,132,train,classification
0.7977839335180055,0.8486956521739129,132,val,classification
0.8176914778856527,0.8495762711864407,132,test,classification
0.854779411764706,0.8287488908606921,133,train,classification
0.8089053803339518,0.8454861111111109,133,val,classification
0.8267543859649124,0.8516949152542372,133,test,classification
0.8571428571428572,0.8287488908606921,134,train,classification
0.8249312557286893,0.8454861111111109,134,val,classification
0.8235294117647058,0.8516949152542372,134,test,classification
0.848987108655617,0.8331907613344739,135,train,classification
0.8177613320999075,0.8498293515358363,135,val,classification
0.8287895310796075,0.8517745302713988,135,test,classification
0.859504132231405,0.8723599632690543,136,train,classification
0.8224471021159153,0.8381818181818184,136,val,classification
0.8403908794788274,0.8411633109619687,136,test,classification
0.8560953253895509,0.8707607699358387,137,train,classification
0.822141560798548,0.8374205267938238,137,val,classification
0.8356605800214824,0.8392857142857143,137,test,classification
0.8652612282309808,0.8328912466843501,138,train,classification
0.8233117483811285,0.8486956521739129,138,val,classification
0.8237837837837838,0.8501594048884166,138,test,classification
0.8630393996247656,0.873394495412844,139,train,classification
0.8273972602739726,0.8410535876475932,139,val,classification
0.8315334773218143,0.84375,139,test,classification
0.8755760368663594,0.8741965105601468,140,train,classification
0.8178438661710038,0.8389444949954504,140,val,classification
0.838012958963283,0.8450390189520625,140,test,classification
0.863970588235294,0.8731617647058822,141,train,classification
0.8129032258064516,0.8389444949954504,141,val,classification
0.8246753246753248,0.84375,141,test,classification
0.8674698795180723,0.875,142,train,classification
0.8193430656934306,0.8366606170598911,142,val,classification
0.838012958963283,0.8383500557413601,142,test,classification
0.8659981768459435,0.8746569075937787,143,train,classification
0.824953445065177,0.8369565217391304,143,val,classification
0.832800851970181,0.8377777777777777,143,test,classification
0.8626728110599078,0.8764867337602927,144,train,classification
0.8055813953488372,0.8398190045248869,144,val,classification
0.8322580645161289,0.8377777777777777,144,test,classification
0.8681010289990645,0.8805147058823529,145,train,classification
0.8230912476722533,0.84,145,val,classification
0.832608695652174,0.8316610925306578,145,test,classification
0.8686131386861313,0.8766114180478822,146,train,classification
0.8278388278388278,0.846503178928247,146,val,classification
0.8417653390742734,0.8348214285714286,146,test,classification
0.8697247706422019,0.8805147058823529,147,train,classification
0.8311926605504588,0.8496376811594203,147,val,classification
0.8477103301384452,0.8361204013377926,147,test,classification
0.8652612282309808,0.8770642201834862,148,train,classification
0.8274582560296846,0.8542805100182149,148,val,classification
0.827807486631016,0.8355555555555556,148,test,classification
0.8534798534798534,0.8770642201834862,149,train,classification
0.8250460405156538,0.8542805100182149,149,val,classification
0.8226495726495726,0.8355555555555556,149,test,classification
0.8637627432808155,0.8778696051423324,150,train,classification
0.8122109158186864,0.8550592525068369,150,val,classification
0.8227712137486575,0.8374164810690423,150,test,classification
0.8730305838739574,0.8778696051423324,151,train,classification
0.8190127970749543,0.8550592525068369,151,val,classification
0.8302702702702703,0.8361204013377926,151,test,classification
0.8684452621895123,0.8794848206071757,152,train,classification
0.8264925373134329,0.8482632541133455,152,val,classification
0.8338762214983714,0.8396436525612472,152,test,classification
0.8666666666666668,0.8801463860933211,153,train,classification
0.8146788990825689,0.8477666362807658,153,val,classification
0.8436830835117772,0.8374164810690423,153,test,classification
0.8690036900369003,0.8823529411764705,154,train,classification
0.8219178082191781,0.8503649635036495,154,val,classification
0.8421052631578948,0.8344519015659956,154,test,classification
0.8706976744186046,0.8821362799263351,155,train,classification
