score,number_of_features,data_set,model_type
0.8838475499092558,127,train,classification
0.8185961713764814,127,val,classification
0.8319148936170213,127,test,classification
0.8864668483197093,128,train,classification
0.8175182481751825,128,val,classification
0.8313891834570519,128,test,classification
0.8919164396003634,129,train,classification
0.8171064604185623,129,val,classification
0.8285410010649628,129,test,classification
0.8925318761384335,130,train,classification
0.8194317140238313,130,val,classification
0.8301486199575372,130,test,classification
0.8925318761384335,131,train,classification
0.8127853881278538,131,val,classification
0.8319148936170213,131,test,classification
0.8898999090081892,132,train,classification
0.813528336380256,132,val,classification
0.8352816153028694,132,test,classification
0.8907103825136612,133,train,classification
0.8153564899451554,133,val,classification
0.8340425531914893,133,test,classification
0.8886861313868614,134,train,classification
0.8190127970749543,134,val,classification
0.8331562167906482,134,test,classification
0.8896991795806746,135,train,classification
0.8175182481751825,135,val,classification
0.8343949044585988,135,test,classification
0.8981818181818182,136,train,classification
0.8195211786372008,136,val,classification
0.8380952380952381,136,test,classification
0.8973660308810172,137,train,classification
0.8206071757129715,137,val,classification
0.8380952380952381,137,test,classification
0.8983666061705988,138,train,classification
0.8206071757129715,138,val,classification
0.8347457627118644,138,test,classification
0.8973660308810172,139,train,classification
0.8187672493100276,139,val,classification
0.8356309650053022,139,test,classification
0.8998178506375227,140,train,classification
0.8206071757129715,140,val,classification
0.8343949044585988,140,test,classification
0.8981818181818182,141,train,classification
0.8206071757129715,141,val,classification
0.8322717622080679,141,test,classification
0.9019963702359347,142,train,classification
0.8177613320999075,142,val,classification
0.8363252375923971,142,test,classification
0.9013574660633484,143,train,classification
0.8166666666666667,143,val,classification
0.8350951374207188,143,test,classification
0.9013574660633484,144,train,classification
0.8174235403151067,144,val,classification
0.836864406779661,144,test,classification
0.8985507246376812,145,train,classification
0.8186046511627906,145,val,classification
0.8347457627118644,145,test,classification
0.8993653671804172,146,train,classification
0.8181818181818181,146,val,classification
0.8296296296296295,146,test,classification
0.8993653671804172,147,train,classification
0.8167441860465117,147,val,classification
0.8308668076109937,147,test,classification
0.9011786038077968,148,train,classification
0.8144712430426716,148,val,classification
0.8297872340425533,148,test,classification
0.9011786038077968,149,train,classification
0.8144712430426716,149,val,classification
0.8297872340425533,149,test,classification
0.8971792538671519,150,train,classification
0.8232044198895027,150,val,classification
0.8297872340425533,150,test,classification
0.8979963570127504,151,train,classification
0.8191881918819188,151,val,classification
0.8326271186440678,151,test,classification
0.8988149498632634,152,train,classification
0.8202764976958525,152,val,classification
0.8326271186440678,152,test,classification
0.8951686417502279,153,train,classification
0.8210332103321033,153,val,classification
0.8326271186440678,153,test,classification
0.9049360146252285,154,train,classification
0.8140610545790934,154,val,classification
0.8333333333333334,154,test,classification
0.9051094890510949,155,train,classification
0.8217913204062788,155,val,classification
0.8354700854700854,155,test,classification
0.9059360730593607,156,train,classification
0.8175985334555453,156,val,classification
0.8399570354457572,156,test,classification
0.9090909090909091,157,train,classification
0.8175985334555453,157,val,classification
0.8354700854700854,157,test,classification
0.9100917431192661,158,train,classification
0.8186813186813188,158,val,classification
0.837953091684435,158,test,classification
0.9140767824497258,159,train,classification
0.8230980751604032,159,val,classification
0.8347457627118644,159,test,classification
0.9140767824497258,160,train,classification
0.8249312557286893,160,val,classification
0.835978835978836,160,test,classification
0.9152233363719234,161,train,classification
0.8252516010978957,161,val,classification
0.8356309650053022,161,test,classification
